Mod Loading Profiling Results:
   Constructing
      minecraft: 1ms
      startuptimer: 1ms
      configanytime: 0ms
      mcp: 0ms
      smoothfontcore: 0ms
      foamfixcore: 0ms
      mixinbooter: 0ms
      bnbgamingcore: 0ms
Class Transformer Profiling Results:
   Transformer Specific
      pl.asie.foamfix.coremod.FoamFixTransformer: 3581ms
      net.minecraftforge.fml.common.asm.transformers.EventSubscriptionTransformer: 3106ms
      net.minecraftforge.fml.common.asm.transformers.SideTransformer: 1985ms
      com.enderio.core.common.transform.SimpleMixinPatcher: 793ms
      net.minecraftforge.fml.common.asm.transformers.EventSubscriberTransformer: 727ms
      invtweaks.forge.asm.ContainerTransformer: 630ms
      net.ilexiconn.llibrary.server.core.patcher.LLibraryRuntimePatcher: 160ms
      vazkii.quark.base.asm.ClassTransformer: 134ms
      com.bloodnbonesgaming.bnbgamingcore.core.BNBGamingCoreClassTransformer: 111ms
      squeek.applecore.asm.TransformerModuleHandler: 107ms
      com.therandomlabs.randompatches.core.RPTransformer: 77ms
      bre.smoothfont.asm.Transformer: 62ms
      appeng.core.transformer.AE2ELTransformer: 50ms
      team.chisel.ctm.client.asm.CTMTransformer: 30ms
   Class Specific
      stanhebben.zenscript.util.AnyClassWriter: 82ms
      net.minecraft.server.management.PlayerList: 77ms
      net.minecraft.client.Minecraft: 70ms
      appeng.fluids.container.ContainerFluidInterface: 59ms
      hellfirepvp.astralsorcery.common.util.effect.time.TimeStopZone: 55ms
      net.minecraft.entity.Entity: 42ms
      kotlin.collections.ArraysKt: 41ms
      kotlin.collections.ArraysKt___ArraysKt: 37ms
      net.minecraft.entity.player.EntityPlayer: 36ms
      net.minecraft.init.Blocks: 33ms
      net.minecraft.client.settings.GameSettings: 25ms
      net.minecraft.entity.EntityLivingBase: 25ms
      net.minecraft.server.MinecraftServer: 22ms
      net.ndrei.teslacorelib.tileentities.ElectricTileEntity: 21ms
   Total: 11682ms
